fakeid,a,e,i,lan,aop,M,epoch JD,H,mag,sun_dist
242,40.0,0.11483311304364163,31.27731537447972,175.74696132843272,105.50365674793476,101.65257517378475,2456658.5,7.440894183833429,23.77,41.4127197265625
1314,40.0,0.18892779220858785,39.551056453272764,58.54635775182394,233.25679823379065,71.6301123878167,2456658.5,7.053763446951547,23.13,38.99501419067383
1839,40.0,0.17176182706491178,21.612039884724297,142.99391167596048,297.84156855026623,325.1108009214118,2456658.5,6.513040922518105,22.11,34.84620666503906
3412,40.0,0.1282320905642915,44.29366358869022,50.4066316602045,119.04721539427938,223.96941834579735,2456658.5,8.291391066939712,24.88,43.96847915649414
4022,40.0,0.06465935341497853,17.666331261197662,144.078249895657,213.39401249186477,32.146825355223086,2456658.5,6.211627058545131,22.16,37.86162185668945
7234,40.0,0.059810108535651024,37.071983290630556,63.236025141722784,261.6381662770378,55.8546149751548,2456658.5,6.833447255976254,22.88,38.76011657714844
8915,40.0,0.21852951772352613,36.89439623704317,58.85054198675796,154.8034683715765,165.2809670667126,2456658.5,6.421854564865711,23.43,48.547096252441406
9403,40.0,0.14696042886635077,15.962558912745388,125.87655434303389,50.64044379352171,223.81988466662978,2456658.5,6.393273389582591,23.04,44.596073150634766
11071,40.0,0.007082454821370959,24.779695026795785,78.50658389652789,91.96398964875866,221.37106583162085,2456658.5,8.427127456716907,24.63,40.213470458984375
12937,40.0,0.2023737444062788,32.96672666130688,182.33201596463059,223.0250617503738,354.44362507905777,2456658.5,8.749723869353499,23.98,31.96474838256836
13836,40.0,0.15016493584260004,19.515967713224498,143.55231641676357,44.562011496522345,210.09107844474926,2456658.5,6.262990939568938,22.99,45.38573455810547
16154,40.0,0.000728120595513998,18.24356736941092,109.5533124532517,23.00306377218327,256.5294085749449,2456658.5,8.563869690179532,24.75,40.006805419921875
17185,40.0,0.03583976190834698,19.314550628753217,115.22091233896037,33.612840589545144,244.07334360593168,2456658.5,8.62073434550544,24.88,40.667388916015625
17755,40.0,0.1744455485003484,21.086169758026806,94.97332871574388,46.37347149281044,265.32704365665404,2456658.5,7.832559566063454,24.2,41.73020935058594
18086,40.0,0.13920388401747083,23.786434730254484,169.60748943799348,348.9791061718558,252.5576370555176,2456658.5,7.0665837674118865,23.49,42.325862884521484
19114,40.0,0.0754782241799613,42.3566769181969,53.43953197529247,62.77230464332345,276.7529164744143,2456658.5,6.769538522227246,22.94,39.87192153930664
19979,40.0,0.09257066826718488,20.691803729187015,141.15920639675613,8.368848909491927,254.61606230392135,2456658.5,7.503070434800771,23.82,41.28812789916992
20496,40.0,0.17154681264513133,16.572129109718716,127.35692129492986,49.71801566612925,226.83947245240677,2456658.5,6.951623779571133,23.66,45.22089767456055
21944,40.0,0.1434705083826625,18.05752815637736,115.3420205380987,23.581762084301033,267.2184373168212,2456658.5,6.181550107440643,22.48,41.08081817626953
26205,40.0,0.10934260879279936,25.2850666913149,84.84231414000772,75.6520411927326,238.95631529811095,2456658.5,6.880471332341256,23.33,42.57735061645508
28086,40.0,0.029921991059883163,17.473614284704574,124.60991510100745,207.08720522797628,59.275143146600406,2456658.5,7.567535644960058,23.69,39.415550231933594
28890,40.0,0.1043125449407804,18.61732119681459,126.68865007381436,216.94771479713341,41.144565921481274,2456658.5,7.180828243416439,23.04,37.07022476196289
30117,40.0,0.22271103397340522,20.184207380536797,123.27032224628307,291.4860757635776,347.150289671741,2456658.5,8.808690696525716,23.97,31.45698356628418
30627,40.0,0.15191074857148928,21.37389599887033,77.99395216185503,18.690134436086723,308.89880839678244,2456658.5,6.206023971538819,22.04,36.82735824584961
31760,40.0,0.13305651555776363,23.809577446533158,150.40533890367672,83.57107345935209,152.42434346321616,2456658.5,6.559768407237958,23.23,44.8459587097168
33401,40.0,0.24515704862941354,46.26629865778695,189.6035880240158,343.7051337303145,246.8459024085087,2456658.5,7.252278535796072,24.0,45.58292770385742
34846,40.0,0.08745130261156445,21.096733513623786,151.80893867113673,72.63627739432934,168.3825544121051,2456658.5,6.318301761056971,22.85,43.437355041503906
